EffectiveFrom,EffectiveTo,Floor,AccountCode,Notes
2026-01-01,2026-06-30,1,KKK+,H1 2026 current preset
2026-01-01,2026-06-30,2,MAK+,H1 2026 current preset
2026-01-01,2026-06-30,3,KGSI,H1 2026 current preset
2026-01-01,2026-06-30,4,GSB,H1 2026 current preset
2026-01-01,2026-06-30,5,GSB,H1 2026 current preset
2026-01-01,2026-06-30,6,NEXT,H1 2026 current preset
2026-07-01,2026-12-31,1,KKK+,
2026-07-01,2026-12-31,2,UOB_MA,Update
2026-07-01,2026-12-31,3,KGSI,
2026-07-01,2026-12-31,4,GSB,
2026-07-01,2026-12-31,5,GSB,
2026-07-01,2026-12-31,6,NEXT,
2027-01-01,2027-06-30,1,,
2027-01-01,2027-06-30,2,,
2027-01-01,2027-06-30,3,,
2027-01-01,2027-06-30,4,,
2027-01-01,2027-06-30,5,,
2027-01-01,2027-06-30,6,,
2027-07-01,2027-12-31,1,,
2027-07-01,2027-12-31,2,,
2027-07-01,2027-12-31,3,,
2027-07-01,2027-12-31,4,,
2027-07-01,2027-12-31,5,,
2027-07-01,2027-12-31,6,,
2028-01-01,2028-06-30,1,,
2028-01-01,2028-06-30,2,,
2028-01-01,2028-06-30,3,,
2028-01-01,2028-06-30,4,,
2028-01-01,2028-06-30,5,,
2028-01-01,2028-06-30,6,,
2028-07-01,2028-12-31,1,,
2028-07-01,2028-12-31,2,,
2028-07-01,2028-12-31,3,,
2028-07-01,2028-12-31,4,,
2028-07-01,2028-12-31,5,,
2028-07-01,2028-12-31,6,,
2029-01-01,2029-06-30,1,,
2029-01-01,2029-06-30,2,,
2029-01-01,2029-06-30,3,,
2029-01-01,2029-06-30,4,,
2029-01-01,2029-06-30,5,,
2029-01-01,2029-06-30,6,,
2029-07-01,2029-12-31,1,,
2029-07-01,2029-12-31,2,,
2029-07-01,2029-12-31,3,,
2029-07-01,2029-12-31,4,,
2029-07-01,2029-12-31,5,,
2029-07-01,2029-12-31,6,,
2030-01-01,2030-06-30,1,,
2030-01-01,2030-06-30,2,,
2030-01-01,2030-06-30,3,,
2030-01-01,2030-06-30,4,,
2030-01-01,2030-06-30,5,,
2030-01-01,2030-06-30,6,,
2030-07-01,2030-12-31,1,,
2030-07-01,2030-12-31,2,,
2030-07-01,2030-12-31,3,,
2030-07-01,2030-12-31,4,,
2030-07-01,2030-12-31,5,,
2030-07-01,2030-12-31,6,,
2031-01-01,2031-06-30,1,,
2031-01-01,2031-06-30,2,,
2031-01-01,2031-06-30,3,,
2031-01-01,2031-06-30,4,,
2031-01-01,2031-06-30,5,,
2031-01-01,2031-06-30,6,,
2031-07-01,2031-12-31,1,,
2031-07-01,2031-12-31,2,,
2031-07-01,2031-12-31,3,,
2031-07-01,2031-12-31,4,,
2031-07-01,2031-12-31,5,,
2031-07-01,2031-12-31,6,,
2032-01-01,2032-06-30,1,,
2032-01-01,2032-06-30,2,,
2032-01-01,2032-06-30,3,,
2032-01-01,2032-06-30,4,,
2032-01-01,2032-06-30,5,,
2032-01-01,2032-06-30,6,,
2032-07-01,2032-12-31,1,,
2032-07-01,2032-12-31,2,,
2032-07-01,2032-12-31,3,,
2032-07-01,2032-12-31,4,,
2032-07-01,2032-12-31,5,,
2032-07-01,2032-12-31,6,,
2033-01-01,2033-06-30,1,,
2033-01-01,2033-06-30,2,,
2033-01-01,2033-06-30,3,,
2033-01-01,2033-06-30,4,,
2033-01-01,2033-06-30,5,,
2033-01-01,2033-06-30,6,,
2033-07-01,2033-12-31,1,,
2033-07-01,2033-12-31,2,,
2033-07-01,2033-12-31,3,,
2033-07-01,2033-12-31,4,,
2033-07-01,2033-12-31,5,,
2033-07-01,2033-12-31,6,,
2034-01-01,2034-06-30,1,,
2034-01-01,2034-06-30,2,,
2034-01-01,2034-06-30,3,,
2034-01-01,2034-06-30,4,,
2034-01-01,2034-06-30,5,,
2034-01-01,2034-06-30,6,,
2034-07-01,2034-12-31,1,,
2034-07-01,2034-12-31,2,,
2034-07-01,2034-12-31,3,,
2034-07-01,2034-12-31,4,,
2034-07-01,2034-12-31,5,,
2034-07-01,2034-12-31,6,,
2035-01-01,2035-06-30,1,,
2035-01-01,2035-06-30,2,,
2035-01-01,2035-06-30,3,,
2035-01-01,2035-06-30,4,,
2035-01-01,2035-06-30,5,,
2035-01-01,2035-06-30,6,,
2035-07-01,2035-12-31,1,,
2035-07-01,2035-12-31,2,,
2035-07-01,2035-12-31,3,,
2035-07-01,2035-12-31,4,,
2035-07-01,2035-12-31,5,,
2035-07-01,2035-12-31,6,,
2036-01-01,2036-06-30,1,,
2036-01-01,2036-06-30,2,,
2036-01-01,2036-06-30,3,,
2036-01-01,2036-06-30,4,,
2036-01-01,2036-06-30,5,,
2036-01-01,2036-06-30,6,,
